season,average_day_temp,average_night_temp,total_sunshine_hours,total_rainfall,suitability
kharif,31.1,21.8,1180.6354966785293,1205.4230242769981,suitable
kharif,30.1,21.1,1154.9175126388238,1164.8184456154515,suitable
kharif,30.4,22.9,1133.0107192828568,1202.344006682222,suitable
kharif,31.5,22.9,1280.5656077502583,1598.916724644991,not suitable
pre-kharif,27.3,21.8,936.5115114760291,693.7573734473284,not suitable
rabi,24.1,20.3,1017.9822346551291,767.842076252939,not suitable
rabi,24.3,19.9,1053.9961596147284,1015.3319368974323,not suitable
rabi,23.4,21.4,935.612861306342,1054.0595748607516,not suitable
rabi,29.8,19.5,1242.8692228039308,759.3100821553794,not suitable
kharif,26.6,19.8,966.3690411426122,1479.7054992033584,not suitable
rabi,29.3,19.1,1153.6607106094295,1029.0869914660661,not suitable
pre-kharif,31.2,24.1,1055.393452923698,1381.9171020327396,not suitable
pre-kharif,34.0,21.7,1227.3182488045627,933.7011637380846,not suitable
pre-kharif,33.9,21.1,1231.1202690242699,856.842017277143,not suitable
kharif,26.9,22.8,949.7834303145589,1367.843740247288,not suitable
kharif,27.9,20.9,999.4979469578553,1427.7448098567586,not suitable
pre-kharif,25.2,22.4,806.276599024108,1159.4570765984597,not suitable
rabi,28.6,18.6,1203.0693114225896,678.8169042906073,not suitable
kharif,27.3,19.9,968.9163259798121,1045.0277892346064,not suitable
pre-kharif,33.8,22.9,1167.7060395223282,1345.873597162486,suitable
kharif,28.8,21.9,995.2888568472594,1413.9475340187932,not suitable
pre-kharif,24.8,17.9,1019.413604923149,1250.478762920396,not suitable
rabi,28.6,20.7,1192.1447935641343,676.8159605950492,not suitable
pre-kharif,31.3,24.5,1057.3876655942736,1105.5803601199318,not suitable
rabi,28.5,18.4,1194.689230318071,978.150147353396,not suitable
rabi,24.4,21.0,1055.4764942645597,598.4828417502932,not suitable
pre-kharif,26.5,22.3,895.5415250486423,1242.8072075246796,not suitable
pre-kharif,31.1,18.5,1018.3758715551078,709.4256957944631,not suitable
rabi,24.2,18.0,950.1663776514099,799.7662036354433,not suitable
rabi,24.9,19.8,1005.7108909800252,1011.2290471454481,not suitable
rabi,23.9,21.6,1024.3900184465676,1024.0390597488738,not suitable
rabi,22.9,20.5,905.3654689885574,737.6625828866925,not suitable
pre-kharif,30.6,22.4,954.9801966103079,900.8954117524103,not suitable
kharif,30.4,20.8,1190.135474155378,1448.8678448524206,suitable
pre-kharif,25.1,22.1,833.738984585981,833.4062905176187,not suitable
rabi,25.7,20.3,1067.14983590912,966.6557771898465,not suitable
kharif,27.5,20.4,906.5695153634404,1003.9396367041119,not suitable
kharif,27.8,21.2,973.2217122355333,1420.0055967526364,not suitable
pre-kharif,31.4,23.2,953.3473934742601,1277.5290035999267,not suitable
kharif,28.1,19.9,1045.4084470677765,1103.0158112406746,not suitable
kharif,28.6,21.1,984.6843517272441,1035.677657598223,not suitable
rabi,21.6,17.7,784.665521263171,648.1111099618957,not suitable
kharif,24.0,21.2,763.803673420155,1514.9780975550302,not suitable
rabi,24.2,22.8,945.4017235185296,705.9044646202118,not suitable
kharif,26.6,20.8,976.9344814304053,1157.388642810928,not suitable
pre-kharif,33.4,23.6,1102.683847837867,926.1717338731123,not suitable
rabi,22.1,19.3,840.0616954437501,1252.9782841644628,not suitable
rabi,24.3,19.5,939.3961154593133,858.7175552016464,not suitable
kharif,29.3,21.2,1064.470338796953,1196.9241110878588,suitable
rabi,25.5,20.6,1052.9777460200826,657.3147226874457,not suitable
kharif,30.5,21.8,1000.1190642709422,1457.2475315268146,suitable
kharif,25.1,22.2,835.3705587170581,1255.011158554848,not suitable
kharif,25.6,21.7,954.1283718970524,1273.2541575901953,not suitable
pre-kharif,29.2,21.8,1000.1693121217894,1184.2164252531518,suitable
pre-kharif,33.1,24.5,1230.3787795581075,1113.1250149558787,not suitable
pre-kharif,29.7,21.8,939.6669830882621,841.5907843334851,not suitable
kharif,27.7,21.7,1077.2394723474679,1270.0376484677206,suitable
kharif,23.7,22.5,818.7460540154763,1353.199535906831,not suitable
kharif,27.0,19.7,994.7064285492038,1266.4893163885113,not suitable
rabi,24.1,17.2,970.119392905669,1134.3199649745984,not suitable
pre-kharif,32.6,23.0,1134.8287841721547,889.2368624583285,not suitable
kharif,23.9,21.2,787.4810949819674,1317.2321218188265,not suitable
rabi,21.1,19.4,765.0052958988798,562.6104362192239,not suitable
pre-kharif,23.2,23.8,540.6430028184349,1295.3274730977175,not suitable
pre-kharif,37.8,21.1,1398.1654401205494,856.3325119417746,not suitable
pre-kharif,34.9,23.0,1236.8050111391235,1025.2879726301646,not suitable
pre-kharif,29.8,21.8,955.0240316952584,855.1244566842636,not suitable
rabi,21.6,19.5,830.1038694090342,808.1720387964504,not suitable
rabi,26.8,18.7,1081.0629356554466,829.9325089624042,not suitable
kharif,30.8,21.8,1123.8989090472935,1226.6187544074587,suitable
rabi,24.0,18.7,914.3531690938469,576.5469582556035,not suitable
rabi,26.7,20.4,1041.0488836691943,1025.4491497832848,not suitable
pre-kharif,24.3,20.7,705.2287201103159,939.1402617595242,not suitable
rabi,24.5,19.7,1100.1422179036547,696.2942910594692,not suitable
kharif,26.9,19.1,984.8352145879416,1353.8587283571248,not suitable
rabi,24.7,21.4,947.789803877917,814.9054347944095,not suitable
rabi,25.1,20.8,1076.8874324811695,850.7505062820505,not suitable
kharif,31.1,21.5,1186.5791807620064,1347.9392193828296,suitable
pre-kharif,30.3,18.8,1067.866964055475,990.8100988527336,not suitable
pre-kharif,25.0,23.0,781.9660917640433,855.068837098857,not suitable
kharif,30.7,21.1,1114.5995545401865,1618.2593429109875,not suitable
rabi,22.6,19.1,935.2666498575686,609.0731409101193,not suitable
rabi,25.3,19.3,973.8865681838771,654.3129796324008,not suitable
pre-kharif,37.3,25.2,973.0252554970623,825.2330969504202,not suitable
kharif,26.5,22.1,926.0278430856074,1244.0519703765344,not suitable
kharif,26.2,20.2,951.5276363771276,1272.66661626017,not suitable
pre-kharif,31.8,23.7,1171.5514696007685,1058.925449803826,not suitable
pre-kharif,27.6,22.8,918.8295656211188,844.5532566734628,not suitable
kharif,27.7,21.5,1036.7470327607484,1336.3218041244263,suitable
rabi,23.9,20.2,913.6119205164798,1072.4268520701808,not suitable
kharif,28.1,21.2,1022.0189251126178,1453.0216727635466,suitable
kharif,28.6,19.3,1037.9284476993682,1719.2312435987649,not suitable
rabi,31.7,19.7,1357.9917802171644,790.1859477865839,not suitable
kharif,26.3,20.3,904.5078467586426,1315.6296885100796,not suitable
rabi,22.1,17.7,851.6839085619049,500.0,not suitable
rabi,25.0,23.4,882.0969422906437,500.0,not suitable
pre-kharif,33.1,20.8,1103.8978204444154,850.329369402091,not suitable
kharif,29.5,22.2,1109.2901733364558,973.3609707798107,not suitable
kharif,28.7,21.0,971.437313251266,1259.901645376781,not suitable
pre-kharif,32.7,21.2,1103.5793438970966,828.7716379021276,not suitable
pre-kharif,33.1,22.9,1134.5717910854826,984.5391559549676,not suitable
kharif,26.7,22.1,921.2319919490865,1471.2913142449627,not suitable
kharif,26.7,21.4,856.2413664189506,1195.5168456926388,not suitable
pre-kharif,30.1,23.5,1055.2711338757824,1207.727297445298,not suitable
pre-kharif,26.3,23.0,679.7079431969556,1351.622506225641,not suitable
rabi,24.6,18.8,980.1110351537187,795.0799082282831,not suitable
pre-kharif,33.5,24.3,1121.730427610181,864.8634747217591,not suitable
pre-kharif,28.7,22.0,871.4124679627562,1537.3530803954282,not suitable
kharif,27.1,20.3,1043.2729905897877,1326.7981114368235,suitable
rabi,21.8,23.5,801.9015726087185,833.5917083686959,not suitable
pre-kharif,26.4,21.9,777.2782027296828,817.9607125981986,not suitable
kharif,26.3,19.6,882.2765436107758,1223.0364966836748,not suitable
rabi,26.4,20.2,1112.5211824112348,549.9471331951526,not suitable
pre-kharif,33.3,22.0,1179.1808602419037,1241.9835077831228,suitable
rabi,24.1,19.1,1080.7982227401985,795.615764336489,not suitable
kharif,28.1,21.3,1026.04425882594,1177.275031284969,suitable
kharif,28.0,20.2,1002.2659924865145,1454.204190276613,suitable
kharif,29.0,21.2,1171.0476778537306,1152.2971740158212,suitable
kharif,31.5,22.8,1198.7195136689772,1344.6959825442937,suitable
pre-kharif,36.3,21.9,1318.895831444512,500.0,not suitable
rabi,19.5,17.5,721.6496757892611,684.3636741199633,not suitable
kharif,28.8,21.8,893.6484900677756,1347.0854027828311,not suitable
pre-kharif,29.7,21.8,963.5690607026603,840.1417478218945,not suitable
pre-kharif,36.0,22.2,1286.3170036209674,861.6111334802339,not suitable
kharif,29.5,21.0,1159.2315745422775,1178.3082281825027,suitable
kharif,28.7,20.6,1003.6011915172861,1323.5638012226468,suitable
pre-kharif,29.7,21.8,1044.6800438798598,989.5652834360718,not suitable
kharif,27.3,22.1,966.1291797127019,1167.057551478072,not suitable
pre-kharif,28.7,21.1,965.6652514221763,1122.989621787772,not suitable
kharif,28.5,21.4,954.4584598543744,1380.6729417548975,not suitable
pre-kharif,28.7,20.7,933.0011490110905,1143.3626431404455,not suitable
kharif,27.1,21.2,1003.8979850151181,1116.9924478150704,not suitable
kharif,29.4,19.5,1037.102427656563,1250.0443292672549,not suitable
rabi,26.1,21.1,1117.4997222565287,833.8518131380658,not suitable
pre-kharif,35.0,24.5,1236.7173566743693,827.9545618714029,not suitable
kharif,25.7,22.6,871.7940645956717,1262.6318391158775,not suitable
pre-kharif,27.5,21.3,854.3914886805746,820.4257570933953,not suitable
rabi,22.9,17.8,907.7791758782031,879.672543477039,not suitable
rabi,25.6,20.3,930.9079392506518,862.3063715600592,not suitable
pre-kharif,32.1,21.6,1104.3477723952094,832.4952701270815,not suitable
kharif,25.2,20.0,828.0587356311818,1478.1365226338737,not suitable
rabi,26.2,21.7,1135.799068474937,1040.9163534011811,not suitable
kharif,28.6,22.5,1070.4940460018433,1321.1770983852407,suitable
kharif,29.6,22.8,972.6758089326228,1451.4428471931005,not suitable
pre-kharif,28.6,21.5,941.1835282445413,500.0,not suitable
pre-kharif,28.6,19.5,822.1150005652531,958.8399402055435,not suitable
rabi,24.6,19.6,924.1197125734216,1206.336823196256,not suitable
rabi,24.1,20.1,941.9288350269322,646.8154846399407,not suitable
kharif,29.5,21.6,1002.4887097550951,1385.9240173869007,suitable
kharif,28.6,20.4,1098.9968066605481,1384.9028535527507,suitable
kharif,29.6,20.1,1093.113509961341,1251.1514420835933,suitable
rabi,31.6,18.5,1397.7615248223,744.7066720203632,not suitable
rabi,19.9,20.3,713.8963935482337,919.5972519530927,not suitable
rabi,22.2,19.7,900.0207207617132,781.2048881842684,not suitable
rabi,22.6,20.8,882.8662890305911,500.0,not suitable
kharif,30.1,19.6,1045.0974532646753,1462.5201783365637,not suitable
pre-kharif,33.5,24.2,1174.2430506139779,826.9301144602914,not suitable
pre-kharif,29.7,22.8,958.4513824233368,1055.400946507649,not suitable
rabi,29.2,21.2,1195.9732906443,500.0,not suitable
kharif,30.0,22.9,993.9587943186538,623.8286786336386,not suitable
pre-kharif,28.1,19.4,942.3882383912422,1572.2595077791777,not suitable
pre-kharif,33.9,23.2,1162.4550334826374,903.9844750388401,not suitable
kharif,26.3,23.0,911.2301096184648,1064.7808643151845,not suitable
pre-kharif,35.3,24.2,1111.3036246866227,916.9499721234238,not suitable
pre-kharif,32.8,21.4,1074.7108073376148,1118.4371556182334,not suitable
kharif,26.2,22.2,939.5644248735921,1268.177879437626,not suitable
kharif,27.0,21.7,1093.10338055727,1369.8324937148475,suitable
kharif,27.4,22.4,1092.8644102955193,1080.0251996214927,not suitable
pre-kharif,23.3,27.7,991.2564692102762,894.2559400714638,not suitable
rabi,23.2,20.6,936.4937024160635,1008.2932085354164,not suitable
pre-kharif,28.8,22.4,924.0537898837783,1143.1560433305049,not suitable
kharif,27.3,21.0,931.4609862803443,1173.789107290337,not suitable
rabi,25.1,18.6,994.2050418885033,923.8620974688258,not suitable
kharif,24.1,22.5,787.5409902969978,1127.9178141223758,not suitable
rabi,24.1,22.3,985.9764800967469,833.7689485826695,not suitable
kharif,31.5,21.6,1098.5942997016805,1423.5294486403934,suitable
kharif,27.0,20.7,930.5126477802289,1576.7832853370285,not suitable
pre-kharif,31.1,20.5,996.6227976272696,866.1401553096271,not suitable
kharif,28.3,21.5,1006.6282835014579,1268.9226180793733,suitable
pre-kharif,29.8,22.3,1048.9848190683545,1442.5666480910115,suitable
pre-kharif,27.5,21.8,869.5587569104347,1071.3879897308902,not suitable
rabi,26.5,18.1,1137.7547342083142,559.4652701105185,not suitable
kharif,30.4,22.7,1106.0980492449987,1382.2252368529407,suitable
rabi,24.9,20.5,1000.8611629820042,941.7522968857498,not suitable
kharif,23.2,22.5,868.2311383768509,1378.0830262843372,not suitable
rabi,26.5,18.8,1098.7612208634098,837.0677661802963,not suitable
kharif,27.2,22.7,883.0627656850181,1555.269010100643,not suitable
kharif,27.4,21.2,959.0335501826247,1205.7113185446071,not suitable
kharif,27.2,22.5,863.1960073401033,1267.4330247937432,not suitable
pre-kharif,33.0,21.0,1141.3967031714526,883.3757863417085,not suitable
rabi,28.6,18.2,1168.9094837806022,719.1687413934491,not suitable
pre-kharif,30.8,22.6,1001.3829912880427,888.9286193434659,not suitable
pre-kharif,25.0,19.3,763.8897323239647,902.3435545669483,not suitable
kharif,28.2,21.8,999.1958799529914,1249.8765730995208,not suitable
pre-kharif,27.4,23.7,944.4935677689584,1315.9382815034894,not suitable
rabi,25.9,18.6,1100.7593607578258,739.7011036092624,not suitable
rabi,23.3,20.2,1055.6764077151975,603.977209323421,not suitable
rabi,26.8,20.9,1162.764168426,966.3660924214216,not suitable
kharif,31.0,19.5,1077.628212810687,1311.3543845636607,not suitable
pre-kharif,29.1,20.3,974.6932389238862,775.8855928826969,not suitable
rabi,31.6,21.6,1293.2039854100108,688.6502030485626,not suitable
kharif,29.6,21.9,1122.4772029918618,1735.5491833112794,not suitable
rabi,27.2,21.8,1085.2965595975681,878.677333662458,not suitable
rabi,24.3,20.4,966.2909079353975,667.9768602324394,not suitable
rabi,20.7,19.0,868.6131613442831,1208.1097733987613,not suitable
pre-kharif,30.6,20.8,1106.0863574666905,874.9501776345362,not suitable
kharif,29.6,21.1,1081.2522322121185,1304.6298923346912,suitable
rabi,26.9,20.7,1110.0131541815579,1071.7508152021867,not suitable
kharif,29.0,19.9,934.6128137669477,1177.912500610992,not suitable
pre-kharif,35.8,21.8,1250.5533014080133,893.7473845238474,not suitable
kharif,26.0,22.0,754.927607707552,1137.864256390299,not suitable
rabi,27.0,19.8,1070.327417383971,1180.199585097567,not suitable
kharif,24.1,22.0,743.0984220549158,1502.1542235259494,not suitable
kharif,25.0,20.8,859.0282722139788,1177.295094091006,not suitable
pre-kharif,31.5,23.0,1119.535171296045,996.8673237506653,not suitable
kharif,28.6,22.5,1057.052252774425,1403.4478942180099,suitable
rabi,25.3,18.4,1098.4328179280692,1206.3275710721275,not suitable
pre-kharif,27.2,22.1,834.3505345190765,947.2218581453819,not suitable
kharif,27.9,21.4,978.2550722110998,1201.9417113220927,not suitable
rabi,25.0,21.5,1000.9812844063811,710.2656581536473,not suitable
rabi,31.7,21.6,1328.0220606334472,677.7897351917482,not suitable
kharif,28.1,24.6,1025.2734874160478,1123.2288171405062,not suitable
rabi,27.8,18.4,1126.9032841689345,1169.7109550204716,not suitable
kharif,22.5,23.1,906.3551646812328,1394.0246395035792,not suitable
pre-kharif,30.3,21.1,1050.7729279830976,742.1190779501408,not suitable
rabi,27.8,22.7,1131.7498975540698,779.1167610168712,not suitable
rabi,24.1,20.4,1006.7762929546216,935.2745204940136,not suitable
rabi,24.9,20.3,1070.86323338184,712.1111346633257,not suitable
rabi,26.2,19.0,1048.2781469269066,714.3107008778309,not suitable
kharif,32.8,22.0,1054.819165418846,1208.749084764816,suitable
kharif,25.7,21.8,931.8373234394775,1365.4060244636432,not suitable
rabi,24.4,21.2,1017.2026163581747,934.7030776844699,not suitable
kharif,29.8,21.3,1157.286736245775,1377.091731660513,suitable
rabi,25.1,17.6,964.5207938137538,552.9460252386577,not suitable
rabi,27.1,19.5,1009.2411348860496,926.5398307840978,not suitable
rabi,23.0,19.5,931.8213136867537,882.6692588315053,not suitable
kharif,27.9,21.6,1065.1579772849866,1384.5772656077227,suitable
kharif,27.2,19.6,928.9155867906337,1260.393572989538,not suitable
pre-kharif,29.3,21.8,983.8106643438229,923.1490837014197,not suitable
kharif,30.0,21.0,1090.4290954955966,1407.1118779524613,suitable
pre-kharif,30.9,21.3,1023.1748763348078,980.2867612138314,not suitable
kharif,30.8,21.4,1182.4440390561697,1168.728740121593,suitable
kharif,27.6,20.5,944.6897489135777,979.4148325800267,not suitable
pre-kharif,31.7,21.5,1091.483366929056,881.9503059561761,not suitable
kharif,29.1,21.9,1085.1895149546388,1410.4781296920398,suitable
pre-kharif,33.7,23.9,1226.9076522061828,1147.2354569967424,not suitable
pre-kharif,29.5,21.1,960.8434807339007,1201.8736159093144,not suitable
rabi,26.0,17.4,1161.7724910072388,724.3015236307795,not suitable
kharif,28.8,20.2,1000.5671414244914,1325.0773845669253,suitable
pre-kharif,34.4,22.6,1329.3132521173573,984.4449098636532,not suitable
kharif,29.2,18.9,946.2742760079227,1211.6349197317456,not suitable
rabi,26.0,21.4,1049.09180467475,803.6357235163006,not suitable
pre-kharif,33.9,23.8,1066.973568144061,1047.1878334461805,not suitable
kharif,28.2,20.2,975.6068116953646,1097.0402469936741,not suitable
pre-kharif,27.5,21.2,990.868640414591,649.0722784870097,not suitable
pre-kharif,37.0,22.0,1381.5446566022492,919.2284938172184,not suitable
kharif,27.2,23.8,978.9853781630779,1027.7525837255039,not suitable
kharif,27.5,19.6,970.0791988984352,1307.784717994125,not suitable
kharif,25.8,22.2,1005.5305539450073,2000.0,not suitable
rabi,26.9,20.2,1143.9808364267215,827.5933846892764,not suitable
rabi,23.7,20.6,897.3581069167334,836.3560440697353,not suitable
kharif,29.5,19.6,1116.158706390613,1279.3816435947697,not suitable
kharif,27.1,21.5,1070.8031500199409,1246.9140262435599,suitable
rabi,19.9,19.3,730.7793643183043,910.5178932038789,not suitable
pre-kharif,29.4,26.2,1044.5628981741256,1222.5811717859965,not suitable
kharif,25.1,22.5,911.1320071864329,1296.3499573954346,not suitable
pre-kharif,27.3,24.6,854.5979138423281,918.7995328191118,not suitable
pre-kharif,35.1,19.8,1222.5855445450122,862.9035673994789,not suitable
rabi,24.5,21.4,886.9967736566953,686.6347632015194,not suitable
rabi,26.2,20.3,1139.4125520299249,1326.6805620971431,suitable
kharif,27.0,22.3,965.6233191960263,1671.6497418018353,not suitable
kharif,21.5,20.9,674.049140546998,1417.8227842675633,not suitable
pre-kharif,35.5,22.3,1304.876855766916,2000.0,not suitable
pre-kharif,29.9,21.4,992.6214173646246,1438.8086403074574,not suitable
pre-kharif,28.1,23.5,987.2137732753897,1098.0270544044845,not suitable
kharif,26.3,20.8,1101.0110686366177,1167.2423991828523,suitable
rabi,27.7,19.4,1133.958975705058,769.7477345240146,not suitable
kharif,27.4,22.2,1009.3994175044418,1304.2224280417017,suitable
pre-kharif,29.8,20.2,1072.57646140118,1255.811682257078,suitable
rabi,22.6,19.0,922.49208413768,780.6341193054581,not suitable
rabi,26.2,17.0,1077.954859111551,1151.9840153370678,not suitable
kharif,27.4,21.5,887.7152466570085,1350.8342568189285,not suitable
kharif,32.5,21.3,1211.4171121338377,575.4124621114494,not suitable
kharif,29.4,21.9,1008.3759919296322,709.503230703514,not suitable
pre-kharif,31.7,21.1,1117.1787551603554,640.7043995389764,not suitable
kharif,29.0,21.4,1103.8962613889958,1182.9386345959242,suitable
rabi,28.5,21.0,1246.4017689604052,567.7410351615214,not suitable
pre-kharif,34.6,20.0,1149.397073855107,854.2680247464135,not suitable
pre-kharif,31.0,20.7,1058.2867975977263,910.2904317379373,not suitable
pre-kharif,31.0,22.9,1006.1039420402013,953.9003959235123,not suitable
pre-kharif,35.1,20.5,1173.1956602808252,906.6590544752614,not suitable
rabi,27.0,21.6,1108.881358359992,1149.7327167453634,suitable
rabi,23.0,23.5,891.5439699670167,814.1425698723149,not suitable
kharif,24.4,21.0,871.9639344520191,1092.0147321766235,not suitable
pre-kharif,28.4,22.3,894.1274589369027,600.4924212327024,not suitable
kharif,27.4,21.4,953.9601120916542,1311.4703407240097,not suitable
kharif,26.9,21.9,906.9390685954725,1287.7348468194662,not suitable
pre-kharif,33.3,18.9,1259.4942613736873,1080.2634253351525,not suitable
kharif,26.7,22.0,928.7131664552394,1299.8467237063146,not suitable
kharif,27.7,22.6,887.9502430558127,1190.217471221543,not suitable
kharif,25.0,20.5,858.5779042450295,1209.5348757270567,not suitable
kharif,25.7,22.9,900.2154652447693,1480.7809956518572,not suitable
pre-kharif,28.1,23.2,971.9212565446209,1114.8622176432998,not suitable
kharif,29.9,20.6,1234.2076699011668,1367.875434641761,suitable
kharif,28.5,21.4,963.4528038681356,1164.125878380602,not suitable
kharif,26.8,20.3,934.1884767483344,1037.9876155185555,not suitable
rabi,24.4,19.6,1004.5522801199297,724.2985303381704,not suitable
kharif,28.3,22.2,991.7200828378905,1169.825602033514,not suitable
pre-kharif,31.4,24.1,1022.9967870176166,1377.6508393741685,not suitable
pre-kharif,24.2,18.0,1023.795793799318,854.1385575706908,not suitable
kharif,31.1,22.3,1111.1897911565611,1323.8102842534345,suitable
pre-kharif,29.4,21.4,932.704866361736,840.2694779105522,not suitable
kharif,27.7,22.1,1051.7749989856525,1208.5835646631085,suitable
rabi,25.1,19.1,1047.8926756918302,648.5096693288848,not suitable
kharif,29.5,22.9,1040.2201308399972,1197.794020162915,suitable
kharif,31.6,19.2,1013.958601568349,1214.5628451530354,not suitable
kharif,26.8,22.8,967.2507604116132,1289.139485529769,not suitable
kharif,29.1,20.9,1011.1108861069663,1423.18633315392,suitable
kharif,32.1,20.9,1152.2030865846777,1299.9371209288788,suitable
rabi,28.9,18.1,1118.588333828763,630.5895370027403,not suitable
kharif,30.5,22.2,1195.0210956219103,1309.3238302909897,suitable
rabi,24.2,21.0,925.4203222274322,750.3350267666149,not suitable
rabi,24.5,21.4,969.7485446523862,842.8032955078919,not suitable
pre-kharif,28.2,22.4,888.5914199871158,585.0857289970478,not suitable
pre-kharif,34.1,23.8,1161.575984623892,500.0,not suitable
pre-kharif,27.7,23.5,972.7867583269714,1197.483601438909,not suitable
pre-kharif,27.6,20.4,876.3211588287751,884.8354597567161,not suitable
pre-kharif,36.9,20.0,1196.063685531642,1535.2434437002544,not suitable
kharif,28.7,22.4,1059.7088145399543,1266.7047429873826,suitable
pre-kharif,32.0,19.7,1207.1804313569291,949.9756111812286,not suitable
kharif,28.2,20.2,1015.5963787039095,1227.2135199144818,suitable
rabi,21.2,21.7,843.3797522633739,899.0420691027238,not suitable
pre-kharif,22.9,21.3,626.9138769879266,1029.8348574949246,not suitable
rabi,23.6,19.1,995.5614172175949,840.9143080875384,not suitable
pre-kharif,28.5,21.2,822.7407888245192,761.3815887463273,not suitable
pre-kharif,24.1,22.1,712.3674249675215,1059.1260310571693,not suitable
kharif,30.3,22.5,1110.1829242415113,1441.3006044222886,suitable
kharif,29.9,22.3,1076.3955482584872,1416.2691310698171,suitable
rabi,23.2,21.5,864.6801192118189,727.0154757452583,not suitable
rabi,24.5,18.8,992.1369876651838,1028.4111496619232,not suitable
rabi,20.7,21.5,770.414498373355,1320.7430981448972,not suitable
pre-kharif,27.0,21.7,883.4465908179568,673.0982586891402,not suitable
pre-kharif,20.0,20.7,549.4252583915425,1148.8248967081743,not suitable
rabi,24.0,19.5,1014.6118960757177,1058.76023454513,not suitable
rabi,22.4,17.3,938.0041869140174,747.8815786288484,not suitable
rabi,26.9,19.8,1215.4417691772824,878.9706352967969,not suitable
kharif,23.7,21.2,738.6860552227953,1646.0164582163566,not suitable
kharif,25.4,21.8,962.6924880257777,1394.8878129356106,not suitable
rabi,23.5,18.0,910.1802059790612,889.5978523964911,not suitable
kharif,28.6,20.5,1069.667040148563,1227.3469881072447,suitable
rabi,23.2,18.9,1021.7211449253022,1080.6316976639228,not suitable
rabi,26.0,19.2,1000.6206898393979,750.8476991526207,not suitable
kharif,24.4,19.5,812.5648014798642,1171.1444359402808,not suitable
rabi,24.2,19.7,954.0826440486961,667.6003451064918,not suitable
rabi,29.9,19.4,1241.8906205839962,989.5089844848047,not suitable
pre-kharif,34.8,23.2,1069.3723123041495,1155.9073676480093,not suitable
rabi,27.1,20.5,1144.9810983972416,863.339002820727,not suitable
kharif,26.2,21.6,900.7676953716773,1451.0965135077201,not suitable
rabi,25.0,20.4,1016.3880025515524,649.8353229190711,not suitable
